z,y,x
8.2432,8.930134,19.5776
7.556267,8.2432,5.152
12.3648,13.738667,18.203733
9.960533,8.2432,18.203733
10.304,6.8693333,17.5168
9.617066,7.8997335,21.638401
15.799467,13.738667,18.890667
14.769067,13.051733,15.799467
9.960533,7.556267,18.5472
10.647467,7.8997335,17.860268
10.304,8.586667,20.951468
7.8997335,9.617066,17.5168
7.556267,9.617066,17.5168
15.112534,12.021334,15.799467
8.930134,8.930134,13.051733
8.586667,5.4954667,16.829866
8.930134,6.1824,17.5168
9.960533,7.556267,21.981867
7.8997335,7.2128,18.203733
7.8997335,8.2432,17.5168
15.456,11.3344,15.456
14.082133,10.990933,13.3952
8.2432,5.4954667,16.829866
8.930134,6.5258665,19.234133
8.930134,6.8693333,22.325333
8.586667,7.2128,18.890667
7.8997335,7.556267,18.5472
12.708267,11.677867,17.5168
11.3344,8.930134,23.012266
11.677867,9.960533,21.981867
9.960533,8.586667,26.7904
10.990933,10.647467,20.608
15.112534,14.769067,20.951468
11.677867,14.082133,20.951468
10.990933,13.051733,16.829866
7.2128,9.617066,8.2432
12.021334,8.930134,21.638401
12.708267,7.556267,22.6688
9.617066,8.2432,27.477333
6.8693333,9.2736,20.608
1.3738667,1.3738667,3.7781334
12.021334,13.3952,16.829866
11.3344,12.3648,16.4864
0.34346667,0.34346667,0.34346667
8.2432,10.304,12.021334
13.738667,6.1824,16.142933
14.769067,6.8693333,17.5168
11.677867,7.2128,24.042667
9.960533,8.930134,20.951468
9.617066,9.2736,22.325333
16.829866,14.082133,19.921066
16.829866,13.3952,20.264534
9.2736,6.5258665,17.5168
13.3952,9.617066,18.5472
12.021334,7.8997335,24.042667
9.617066,8.586667,21.981867
10.990933,8.930134,21.294933
14.769067,12.708267,21.981867
12.3648,12.3648,20.264534
11.008,9.632,23.048
10.320001,7.912,22.016
11.008,8.6,26.488
8.944,11.008,18.92
7.5680003,10.6640005,19.952002
12.728001,13.416,17.544
11.352,13.416,18.576
12.384001,14.104,17.2
10.320001,9.976001,22.704
8.944,7.2240005,23.392
13.0720005,8.944,28.208
8.2560005,9.632,18.576
8.6,9.976001,18.92
11.008,13.0720005,18.232
12.04,14.448001,19.608
9.976001,15.824,16.856
11.008,6.5360003,18.92
12.04,7.2240005,19.264
12.384001,8.2560005,25.800001
11.352,6.1920004,22.36
7.5680003,7.5680003,20.640001
12.384001,13.416,18.576
12.384001,14.448001,20.640001
14.104,13.416,14.792001
12.728001,6.1920004,16.856
11.008,7.2240005,20.984001
11.696,8.6,24.768002
8.2560005,7.5680003,23.392
7.912,8.6,23.736
12.728001,11.008,19.264
12.384001,11.696,20.640001
15.824,13.416,13.0720005
16.856,8.6,16.512001
16.168001,9.288,16.512001
11.696,10.320001,21.672
12.728001,12.384001,18.232
17.2,8.2560005,16.512001
16.168001,9.288,16.856
14.448001,9.632,22.016
9.288,9.632,18.576
7.5680003,9.288,18.92
11.696,12.384001,20.984001
11.352,12.04,20.296001
12.384001,5.504,17.888
12.04,6.88,19.264
11.352,8.6,23.392
9.288,7.5680003,21.672
7.2240005,7.912,20.296001
10.6640005,13.416,11.008
12.04,6.1920004,17.888
12.384001,7.2240005,18.576
11.352,8.944,22.016
7.2240005,7.5680003,19.952002
13.0720005,13.416,18.576
12.04,16.856,18.92
10.556,8.372,18.928
12.012,7.2799997,16.744
11.648,7.2799997,20.383999
11.283999,8.372,16.38
8.736,8.372,18.199999
13.467999,13.104,17.108
12.012,14.196,16.744
14.196,9.464,14.196
11.648,8.007999,18.928
13.104,8.007999,16.38
12.74,6.552,19.656
10.556,8.372,17.108
10.92,8.372,17.836
13.467999,12.375999,17.108
12.74,13.104,17.836
10.556,10.191999,13.832
9.828,4.732,16.38
9.464,6.1879997,17.836
8.372,6.1879997,21.84
8.007999,6.916,18.928
7.644,8.007999,19.292
14.559999,10.191999,14.559999
10.556,4.732,16.015999
9.828,5.46,16.744
8.372,6.1879997,20.748
8.007999,6.552,18.928
12.012,11.648,17.472
11.283999,10.191999,16.015999
13.832,10.191999,14.924
10.191999,8.372,20.748
10.92,8.736,19.656
11.648,8.372,25.844
8.372,8.372,21.84
6.552,7.2799997,10.191999
14.924,10.556,20.748
10.556,8.736,21.112
8.736,6.916,20.383999
9.464,8.372,25.48
16.744,15.651999,20.02
15.651999,11.283999,20.748
12.375999,5.46,16.744
13.467999,6.1879997,18.564
13.832,7.2799997,23.296
12.012,5.46,16.744
